complaint_id,date,channel,product_category,complaint_text,severity,text_clean,theme_id
C001,2024-01-03,email,credit_card,My credit card was declined at the grocery store even though I had sufficient funds. I checked my balance immediately after and it was fine. Very embarrassing.,high,my credit card was declined at the grocery store even though i had sufficient funds. i checked my balance immediately after and it was fine. very embarrassing.,2
C002,2024-01-05,phone,credit_card,I noticed an unauthorized charge of $350.00 on my credit card. I did not make this purchase and need it disputed immediately.,high,i noticed an unauthorized charge of 350.00 on my credit card. i did not make this purchase and need it disputed immediately.,2
C003,2024-01-08,chat,savings_account,I was charged twice for the same transaction of $89.99. The duplicate charge needs to be reversed as soon as possible.,medium,i was charged twice for the same transaction of 89.99. the duplicate charge needs to be reversed as soon as possible.,3
C004,2024-01-10,email,credit_card,My credit card has been declined multiple times today at different merchants. There is plenty of available credit on the card.,medium,my credit card has been declined multiple times today at different merchants. there is plenty of available credit on the card.,2
C005,2024-01-12,phone,credit_card,There are three fraudulent transactions on my account totaling $520. I need the card blocked and a dispute filed immediately.,high,there are three fraudulent transactions on my account totaling 520. i need the card blocked and a dispute filed immediately.,2
C006,2024-01-14,social_media,savings_account,My online transfer of $500 to my savings account failed twice but I was charged both times. Where is my money?,high,my online transfer of 500 to my savings account failed twice but i was charged both times. where is my money?,3
C007,2024-01-16,web_form,credit_card,An international transaction was blocked without notifying me. I was traveling abroad and could not use my card for 6 hours.,medium,an international transaction was blocked without notifying me. i was traveling abroad and could not use my card for 6 hours.,4
C008,2024-01-18,email,savings_account,I attempted a wire transfer of $2000 and it failed. The money was debited from my account but never arrived at the destination.,high,i attempted a wire transfer of 2000 and it failed. the money was debited from my account but never arrived at the destination.,3
C009,2024-01-21,phone,credit_card,My card was declined for a $12 coffee purchase. I have a $10000 credit limit and nearly no balance. This makes no sense.,medium,my card was declined for a 12 coffee purchase. i have a 10000 credit limit and nearly no balance. this makes no sense.,2
C010,2024-01-23,chat,credit_card,I made a purchase online and the transaction shows as pending for 8 days. The merchant says they were paid but I see no confirmation.,low,i made a purchase online and the transaction shows as pending for 8 days. the merchant says they were paid but i see no confirmation.,0
C011,2024-01-25,email,credit_card,Someone used my card details to make several online purchases. My card was in my wallet the whole time. This must be a data breach.,high,someone used my card details to make several online purchases. my card was in my wallet the whole time. this must be a data breach.,2
C012,2024-01-28,phone,savings_account,My ATM withdrawal of $300 was deducted from my account but the machine did not dispense the cash. I need this refunded immediately.,high,my atm withdrawal of 300 was deducted from my account but the machine did not dispense the cash. i need this refunded immediately.,4
C013,2024-01-30,chat,credit_card,I returned merchandise worth $150 two weeks ago but the refund has not appeared on my credit card statement yet.,medium,i returned merchandise worth 150 two weeks ago but the refund has not appeared on my credit card statement yet.,2
